gene_id	WTS_1	WTS_2	WTS_3	WT_1	WT_2	WT_3
gene-OW489_RS02030	146	181	219	22	47	24
gene-OW489_RS02035	1165	952	913	242	247	263
gene-OW489_RS02040	6043	3894	4237	3738	4738	3856
gene-OW489_RS02055	384	501	482	385	591	376
gene-OW489_RS02060	1272	1687	1970	1185	1852	1035
gene-OW489_RS02065	874	1272	1342	1340	1792	1271
gene-OW489_RS02070	11645	7810	8219	43043	59482	43163
gene-OW489_RS02075	11570	11487	12084	5058	6770	5053
gene-OW489_RS02080	2922	4986	5068	2867	2815	2751
gene-OW489_RS02085	655	1102	1185	1492	2067	1305
gene-OW489_RS02090	534	825	991	1647	2213	1476
gene-OW489_RS02095	1700	1966	2128	3281	3775	3635
gene-OW489_RS02100	2979	4747	4813	2620	2967	2761
gene-OW489_RS02105	2647	2923	2858	2823	3222	2770
gene-OW489_RS02110	785	693	703	395	574	394
gene-OW489_RS02115	89	165	142	63	78	30
gene-OW489_RS02120	119	204	205	86	152	102
gene-OW489_RS02125	341	480	452	67	136	75
gene-OW489_RS02130	447	710	742	158	197	138
gene-OW489_RS02135	10	23	37	7	4	1
gene-OW489_RS02140	890	1435	1574	714	1309	807
gene-OW489_RS02145	895	1123	1287	874	951	876
gene-OW489_RS02150	56	105	120	81	105	76
gene-OW489_RS02155	390	582	493	202	353	247
gene-OW489_RS02160	4	14	9	4	7	3
gene-OW489_RS02205	469	390	452	214	219	134
gene-OW489_RS02210	2298	2034	2158	2026	2575	1771
gene-OW489_RS02215	3178	3511	3754	4627	5356	4481
gene-OW489_RS02220	65	128	123	193	177	162
gene-OW489_RS02225	4031	3600	3887	3654	4333	3295
gene-OW489_RS02230	1807	2294	2401	2214	2691	1817
gene-OW489_RS02235	1233	1185	1189	642	984	564
gene-OW489_RS02240	3384	2723	2813	2051	2648	1984
gene-OW489_RS02245	3390	2606	2580	2471	3009	2303
gene-OW489_RS02250	377	430	378	194	336	161
gene-OW489_RS02260	2725	4002	4177	1810	2178	1598
gene-OW489_RS02265	576	524	560	259	344	219
gene-OW489_RS02270	2465	3252	3094	1865	2180	1755
gene-OW489_RS02275	1286	2175	2322	1203	1821	1093
gene-OW489_RS02280	3005	2347	2494	1982	2434	1875
gene-OW489_RS02285	162	321	325	105	146	61
gene-OW489_RS02290	23	53	55	8	6	4
gene-OW489_RS02295	973	1490	1503	488	454	425
gene-OW489_RS02300	843	707	818	951	1283	864
gene-OW489_RS02305	81	103	90	123	164	111
gene-OW489_RS02310	878	1146	1095	793	974	777
gene-OW489_RS02315	112	155	179	89	127	57
gene-OW489_RS02320	59	81	84	52	67	39
gene-OW489_RS02335	395	391	403	327	393	371
gene-OW489_RS02340	4925	5574	6207	2027	2865	2041
gene-OW489_RS02345	859	1253	1245	696	815	688
gene-OW489_RS02355	415	853	859	1296	1059	1356
gene-OW489_RS02360	1481	1785	1880	773	1234	699
gene-OW489_RS02365	1588	1562	1579	1038	1239	913
gene-OW489_RS02370	990	864	1056	897	1560	927
gene-OW489_RS02375	10387	9870	10472	12717	13268	12977
gene-OW489_RS02380	1478	2548	2927	2306	3485	2055
gene-OW489_RS02385	3906	5458	5731	6452	7113	6143
gene-OW489_RS02390	632	880	1034	547	580	493
gene-OW489_RS02395	51	198	206	43	22	27
gene-OW489_RS02400	194	390	346	136	190	102
gene-OW489_RS02405	14	24	25	8	9	3
gene-OW489_RS02410	256	401	363	122	208	107
gene-OW489_RS02415	224	379	367	117	131	75
gene-OW489_RS02420	1161	1200	1326	622	654	580
gene-OW489_RS02425	1125	2029	2124	703	924	609
gene-OW489_RS02430	1878	2087	2341	2588	3282	2211
gene-OW489_RS02435	430	759	697	944	1035	851
gene-OW489_RS02440	106	205	244	60	72	32
gene-OW489_RS02445	368	416	441	293	304	280
gene-OW489_RS02450	294	717	710	250	351	299
gene-OW489_RS02455	307	521	613	172	335	175
gene-OW489_RS02460	133	338	349	169	210	169
gene-OW489_RS02465	6929	6107	8044	9543	16091	9708
gene-OW489_RS02470	383	807	1198	867	2039	772
gene-OW489_RS02475	7657	4497	5075	2739	3567	2715
gene-OW489_RS02480	1144	926	1050	432	471	305
gene-OW489_RS02485	5080	6104	6239	2766	3501	2565
gene-OW489_RS02490	189	249	209	71	141	71
gene-OW489_RS02495	678	696	691	144	239	171
gene-OW489_RS02500	2447	2841	2972	4998	5868	5370
gene-OW489_RS02505	559	845	776	418	531	359
gene-OW489_RS02510	3381	3426	3701	5039	6557	4846
gene-OW489_RS02515	340	453	461	284	429	299
gene-OW489_RS02520	1892	2395	2468	1566	1981	1305
gene-OW489_RS02525	8268	10636	10940	5458	6190	4986
gene-OW489_RS02530	2152	2232	2373	311	513	348
gene-OW489_RS02535	4706	6918	7045	19746	18793	18884
gene-OW489_RS02540	14374	7368	8620	26660	37904	27058
gene-OW489_RS02545	478	751	1038	1094	2718	921
gene-OW489_RS02550	1237	1411	2264	1285	3349	1174
gene-OW489_RS02555	795	730	914	595	1048	590
gene-OW489_RS02560	326	321	405	273	399	243
gene-OW489_RS02565	775	845	850	615	782	499
gene-OW489_RS02570	110	171	211	119	114	110
gene-OW489_RS02575	429	449	491	339	493	325
gene-OW489_RS02580	20	20	36	21	30	20
gene-OW489_RS02585	508	661	620	405	647	435
gene-OW489_RS02590	3409	3717	3986	2585	3212	2381
gene-OW489_RS02595	158	279	324	166	298	140
gene-OW489_RS02600	195	199	271	275	407	281
gene-OW489_RS02605	420	581	656	697	974	795
gene-OW489_RS02610	411	702	693	808	883	871
gene-OW489_RS02615	1338	2374	2411	538	689	441
gene-OW489_RS02620	2090	2206	2575	1642	2569	1313
gene-OW489_RS02625	4362	3283	3340	3271	4331	2758
gene-OW489_RS02630	8771	8220	9244	10371	13429	9336
gene-OW489_RS02635	887	887	1097	603	1057	550
gene-OW489_RS02640	692	1057	1117	326	547	313
gene-OW489_RS02645	353	443	497	177	418	165
gene-OW489_RS02650	1402	1646	2046	1791	2958	1813
gene-OW489_RS02655	2946	3320	3639	2329	3228	2080
gene-OW489_RS02660	13916	13306	14161	11879	16598	11030
gene-OW489_RS02665	344	351	365	212	274	220
gene-OW489_RS02670	923	1495	1618	1001	1403	860
gene-OW489_RS02685	4	13	8	6	6	1
gene-OW489_RS02690	20	79	73	29	45	22
gene-OW489_RS02695	179	365	375	170	239	148
gene-OW489_RS02700	1257	1642	1724	1673	2257	1495
gene-OW489_RS02705	740	1319	1309	1273	1656	1127
gene-OW489_RS02710	4078	5190	5693	8287	11885	7152
gene-OW489_RS02715	2341	1136	1240	2052	3080	2010
gene-OW489_RS02720	6215	6756	7523	14194	21558	12466
gene-OW489_RS02725	240	530	533	231	362	244
gene-OW489_RS02730	1	11	9	1	0	1
gene-OW489_RS02735	22670	24296	26574	41587	48401	39958
gene-OW489_RS08110	5	2	2	1	3	0
gene-OW489_RS02755	1393	1560	1679	2350	2923	2035
gene-OW489_RS02760	10	13	22	16	14	10
gene-OW489_RS02765	137	240	296	179	267	107
gene-OW489_RS02770	20	54	28	11	19	12
gene-OW489_RS02775	6122	4698	5482	8165	9768	8726
gene-OW489_RS02780	317	621	803	675	1143	820
gene-OW489_RS02785	27	90	105	127	243	131
gene-OW489_RS02790	54	122	106	19	64	24
gene-OW489_RS02800	3457	3511	3657	6033	6561	5712
gene-OW489_RS02805	8255	9856	10278	8386	8793	7873
gene-OW489_RS02840	4906	5755	6289	2483	3820	2379
gene-OW489_RS02845	2205	4184	4584	2928	3919	2817
gene-OW489_RS02850	1014	2379	2426	2001	2543	1902
gene-OW489_RS02855	1011	1041	994	484	620	411
gene-OW489_RS02860	348	572	547	277	400	226
gene-OW489_RS02865	49	60	70	62	72	48
gene-OW489_RS02870	529	777	778	392	416	335
gene-OW489_RS02875	4911	5166	6202	5595	7650	5362
gene-OW489_RS02880	1517	1372	1663	817	1072	798
